little heavy

heavy mobile

mobile light

light weighted

weighted days

days gone

gone bulky

bulky good

outdated think

think model

model one

one make

make touch

touch screen

screen one

one facility

facility days

days spendk

spendk get

get far

far better

better larger

larger screen

screen features

camara mp

mp u

u get

get mp

mp front

front front

front mp

mp one

one thing

thing remember

remember dont

dont mix

mix withk

withk price

price camara

camara canot

canot compare

compare cow

cow vs

vs dog

dog compare

compare moto

moto g

g lumia

lumia atleast

maintenance tooooo

tooooo much

much costly

costly u

u visit

visit store

store maintenance

maintenance warranty

warranty finished

good product

product purchased

purchased problem

problem mobile

mobile call

call someone

someone hearing

hearing lot

lot disturbance

disturbance mobile

mobile put

put loudspeaker

loudspeaker mode

mode working

working fine

fine issues

heat satisfied

camera torch

torch light

light work

work properly

pathetic bad

bad used

used several

several months

months features

features bad

bad hangs

hangs often

often battery

battery horrible

slow low

low battery

battery comes

comes ios

ios latest

latest ios

ios feel

feel lags

lags operating

operating low

battery ong

please buy

buy iam

iam hugely

hugely disappointed

disappointed battery

battery hardly

hardly lasts

lasts hour

hour also

also speaker

speaker sometimes

sometimes makes

makes strange

strange noises

isthe product

product turned

turned extremely/abysmally

extremely/abysmally low

battery life

life charge

charge least

least three

three times

times day

day constantly

constantly carry

carry power

power pack

good heating

heating problemless

problemless ramless

ramless internal

internal spacenot

spacenot full

full hd

hd display

display low

low resolution

resolution camera

camera picture

picture quality

quality far

far digital

digital camera

camera screen

screen size

size also

also less

charger quelty

quelty poor

poor open

open box

box put

put charge

charge suddenly

suddenly charge

charge blast

blast spark

spark wire

wire charge

charge removed

removed charger

charger luke

luke safe

safe charger

charger lost

lost issue

issue home

home wiring

wiring charge

charge ok

ok also

guys careful

careful device

device supportg

supportg though

though iss

iss assumption

assumption supportg

worst mobile

mobile ever

ever good

good build

build quality

quality worst

worst front

front camera

camera compared

compared xiaomi

xiaomi mi4

mi4 u

u compare

compare brand

brand name

name going

going disappear

disappear soon

soon due

due callednothing

callednothing new'

new' called

called apple

worth money

money go

go i6

i6 u

u need

need apple

worst expericence

expericence months

months usage

usage started

started rebooting

rebooting problem

problem suddenly

suddenly got

got dead

worst scenario

scenario initial

initial screen

screen flickering

flickering boot

boot working

working properly

properly going

going next

next step

step initial

initial settings

settings tried

tried multiple

multiple proper

proper sim

sim cards

cards failed

failed launch

launch mobile

mobile worst

scenario product

product tested

tested unfair

unfair acceptable

copy samsung

samsung s4

s4 s3

s3 micromaxcanvas

micromaxcanvas knight

knight best

best micromax

micromax cost

cost k

k high

high cost

cost u

u wait

wait month

month half

half rate

rate rate

rate released

released kand

kand k

apple repair

repair service

service bad

bad india

india battery

battery drain

drain excessive

excessive heating

heating issue

issue apple

apple repairing

repairing still

still warranty

warranty every

every time

time ask

ask factory

factory reset

reset resolve

dont buy

buy beware

beware bad

bad experience

experience worst

worst ever

processing speed

speed camera

camera quality

quality good

good mark

mark front

camera gives

gives blury

blury images

images small

small screen

drain hours

hours full

full charge

charge heated

heated fast

installed apps

apps far

far hangs

hangs giving

giving bad

bad touch

touch usage

usage experience

shit bullshit

bullshit apple

apple friends

friends donot

donot buy

buy bullshit

bullshit samsung

samsung galaxy

galaxy note

note much

much much

much better

better shit

shit infact

infact note

much features

features less

less price

pathetic battery

battery months

months later

later battery

battery drains

drains fully

fully hours

hours heats

heats even

even used

used worth

worth price

price paid

experience working

working freezing

freezing issue

issue twice

twice day

worst experience

experience purchased

purchased gb

gb found

found micro

micro working

heating battery

drain issues

issues full

full heating

issue even

even able

able hold

hold mobile

mobile video

video call

call battery

battery drained

drained min

min video

stands shit

shit kind

kind money

money buy

buy best

best stylus

stylus powerful

powerful feature

feature proof

proof itis

itis prehistoric

prehistoric icons

icons uncustomizable

uncustomizable screens

screens paid

paid apps

apps non

non removable

removable battery

battery lack

lack expandable

expandable memory

memory dead

dead turn

less battry

battry back

back getting

getting heat

heat soon

soon bought

bought satisfied

satisfied less

less batry

batry back

back dont

dont knw

knw becoming

becoming heat

heat play

play game

game mins

mins pathetic

waste apple

apple mobile

mobile waste

waste ever

ever sensor

sensor good

good apple

apple finger

finger print

print sensor

sensor gone

gone quikly

quikly look

look good

good look

look name

name company

company getting

getting others

others dont

buy compair

compair moto

g moto

g good

good price

price also

also perfect

worst people

people telling

telling note

note massive

massive specs

specs shit

shit becouse

becouse price

price mobile

mobile gb

gb memory

memory costs

costs note

note good

good never

never buy

buy apple

apple phne

apple crazy

crazy didnot

didnot think

think bad

bad price

price would

would get

get much

better like

like note

note even

even galaxy

galaxy s4

s4 better

better even

even though

though older

older flagship

flagship models

models android

android oems

oems better

fools idiots

idiots buy

apple others

others buy

buy nokia

nokia lg

lg karbonn

karbonn beacuse

beacuse screen

screen nd

nd back

back side

side gets

gets broken

broken falls

falls apps

apps small

small fork

fork use

use regulr

regulr phn

phn users

users cos

cos ntng

ntng like

like apps

apps good

build etc

etc buy

buy lumia

lumia lg

lg g2

worst cell

cell service

service incompetent

incompetent horrible

horrible incompetent

incompetent service

service personnel

personnel executive

executive department

department authority

authority anything

anything every

every update

update creates

creates problems

problems previously

previously yet

yet never

never fixes

fixes known

known problems

problems acknowledge

apple ui

ui hard

hard use

use battery

drains like

like thereis

thereis tomorrow

tomorrow even

even full

charge thing

thing thatis

thatis good

good aesthetics

aesthetics probably

probably made

made thin

thin couldnot

couldnot fit

fit gb

gb ram

ram decent

decent processor

processor canot

canot even

even expand

expand memory

memory least

least get

get better

better processors

processors ram

ram storage

storage space

space expadability/connectivity

expadability/connectivity options

options android

overhyped overrated

overrated overpriced

overpriced ok

ok didnot

didnot buy

buy itis

itis prize

prize friend

friend mine

mine comparing

comparing galaxy

note ii

ii everything

everything exists

exists also

also exists

exists note

ii even

even note

ii much

features people

people say

say best

best itis

itis gimmick

gimmick hype

hype canot

even customize

customize home

home screen

screen like

ii ui

ui simple

simple usual

usual boring

boring grid

grid icons

icons know

know widgets

widgets itis

itis pretty

pretty boring

boring person

person always

always want

want speed

speed ease

ease like

like donot

donot want

want open

open mail

mail app

app checking

checking email

email done

done faster

faster easier

easier widgets

widgets maps

maps app

app sucks

sucks map

map country

country isnot

isnot complete

complete luckily

luckily download

download google

google maps

app store

store signal

signal speaker

speaker weak

weak proximity

proximity sensor

sensor behave

behave weirdly

weirdly g

g sensor

sensor sensitive

sensitive canot

canot transfer

transfer music

music via

via bluetooth

bluetooth buy

buy many

many smarts

smarts better

better cheaper

cheaper i?

life battery

battery died

died brand

brand new

new didnot

didnot last

last full

full years

years apple

apple would

would replace

replace battery

battery wanted

wanted pay

pay going

going back

back android

poor battery

life reception

life horrible

piece garbage

donot like

need batter

batter battery

life free

free apps

hard type

buy something

something else

waist money

unhappy shocked

shocked child

child unhappy

unhappy heats

heats real

